"INSEE_COM","STATUT","POPULATION","TX_LOG_SEC","TYPO_LOG_SEC","POP_CHOM","POP_ACT","POP_OCC","TX_CHOM"
"31462","Commune simple",1978,2.5255146193707,"moyenne",46.8610087072352,932.013395399455,885.15238669222,5.02793296089385
"31463","Commune simple",240,3.76132513124791,"moyenne",12.7868852459016,124.918032786885,112.131147540984,10.2362204724409
"31464","Commune simple",310,4.31426456593001,"moyenne",23,161,138,14.2857142857143
"31465","Commune simple",14,73.3333333333333,"forte",1,7,6,14.2857142857143
"31466","Commune simple",784,4.79233226837061,"moyenne",42,389,347,10.7969151670951
"31467","Commune simple",6122,0.647190122668661,"faible",318.37857237813,3060.02714758097,2741.64857520284,10.404436203444
"31468","Commune simple",220,22.103944113389,"forte",4.84581497797357,100.79295154185,95.9471365638767,4.80769230769231
"31469","Commune simple",151,9.80575270825548,"moyenne",14.0933333333334,86.5733333333336,72.4800000000002,16.2790697674419
"31470","Commune simple",94,87.2129608442013,"forte",0,39.9996237037674,39.9996237037674,0
"31471","Commune simple",404,42.9432451277169,"forte",11.6811145510836,135.49226006192,123.811145510836,8.6212412028151
"31472","Commune simple",247,32.7823385844243,"forte",11.1810699588477,103.679012345679,92.4979423868309,10.7843137254902
"31473","Commune simple",431,4.62107862215862,"moyenne",21.8479262672811,219.472350230415,197.624423963134,9.95475113122172
"31474","Commune simple",247,8.70836165873558,"moyenne",9.11065573770489,111.352459016393,102.241803278688,8.18181818181818
"31475","Commune simple",1336,1.58450704225352,"faible",64,690,626,9.27536231884058
"31476","Commune simple",889,4.62724935732648,"moyenne",60,426,366,14.0845070422535
"31477","Commune simple",43,27.7392040643523,"forte",0,23.547619047619,23.547619047619,0
"31478","Commune simple",1276,10.4556343453199,"moyenne",106.416994492526,581.277734067666,474.86073957514,18.307426597582
"31479","Commune simple",53,28.4513366233817,"forte",4.56896551724138,27.4137931034483,22.8448275862069,16.6666666666667
"31480","Commune simple",1978,0.118656145374127,"faible",59.0241888956169,1056.62974219695,997.605553301329,5.58608058608059
"31481","Commune simple",2057,1.12620950880384,"faible",94.7427626137305,1022.22591129906,927.483148685332,9.26828028584501
"31482","Commune simple",216,24.2647058823529,"forte",13,93,80,13.9784946236559
"31483","Sous-préfecture",11431,3.11248640607633,"moyenne",949.646693056374,4467.05399509613,3517.40730203975,21.2589033868604
"31484","Commune simple",2436,1.46788990825688,"faible",115,1188,1073,9.68013468013468
